index,plant,staerke_num,staerke_txt,execution_time
0,Erle,0,keine,2020-05-17 08:58:49.162521
1,Hasel,0,keine,2020-05-17 08:58:49.162521
2,L\xf6wenzahn,3,stark,2020-05-17 08:58:49.162521
3,Gr\xe4ser,3,stark,2020-05-17 08:58:49.162521
4,Gerste,1,schwach,2020-05-17 08:58:49.162521
5,Linde,1,schwach,2020-05-17 08:58:49.162521
7,Beifu\xdf,1,schwach,2020-05-17 08:58:49.162521
8,G\xe4nsefu\xdf,1,schwach,2020-05-17 08:58:49.162521
9,Mais,1,schwach,2020-05-17 08:58:49.162521
10,Brennessel,1,schwach,2020-05-17 08:58:49.162521
11,Hafer,1,schwach,2020-05-17 08:58:49.162521
12,Roggen,2,mäßig,2020-05-17 08:58:49.162521
14,Weizen,2,mäßig,2020-05-17 08:58:49.162521
15,Spitzwegerich,3,stark,2020-05-17 08:58:49.162521
16,Raps,2,mäßig,2020-05-17 08:58:49.162521
17,Hopfen,3,stark,2020-05-17 08:58:49.162521
18,Holunder,2,mäßig,2020-05-17 08:58:49.162521
19,Ulme,1,schwach,2020-05-17 08:58:49.162521
21,Pappel,1,schwach,2020-05-17 08:58:49.162521
22,Weide,1,schwach,2020-05-17 08:58:49.162521
23,Birke,0,keine,2020-05-17 08:58:49.162521
24,Eiche,1,schwach,2020-05-17 08:58:49.162521
25,Esche,1,schwach,2020-05-17 08:58:49.162521
26,Platane,2,mäßig,2020-05-17 08:58:49.162521
28,Flieder,1,schwach,2020-05-17 08:58:49.162521
29,Ambrosia,0,keine,2020-05-17 08:58:49.162521
30,Buche,3,stark,2020-05-17 08:58:49.162521
31,Rotbuche,3,stark,2020-05-17 08:58:49.162521
32,Ahorn,3,stark,2020-05-17 08:58:49.162521
33,Nessel,0,keine,2020-05-17 08:58:49.162521
35,Kiefer,2,mäßig,2020-05-17 08:58:49.162521
36,Tanne,3,stark,2020-05-17 08:58:49.162521
37,Fichte,3,stark,2020-05-17 08:58:49.162521
