index,plant,staerke_txt,staerke_num,execution_time
0,Erle,keine,0,2020-05-02 10:45:17.113242
1,Hasel,keine,0,2020-05-02 10:45:17.113242
2,L\xf6wenzahn,schwach,1,2020-05-02 10:45:17.113242
3,Gr\xe4ser,schwach,1,2020-05-02 10:45:17.113242
4,Gerste,keine,0,2020-05-02 10:45:17.113242
5,Linde,keine,0,2020-05-02 10:45:17.113242
7,Beifu\xdf,keine,0,2020-05-02 10:45:17.113242
8,G\xe4nsefu\xdf,keine,0,2020-05-02 10:45:17.113242
9,Mais,keine,0,2020-05-02 10:45:17.113242
10,Brennessel,keine,0,2020-05-02 10:45:17.113242
11,Hafer,keine,0,2020-05-02 10:45:17.113242
12,Roggen,schwach,1,2020-05-02 10:45:17.113242
14,Weizen,keine,0,2020-05-02 10:45:17.113242
15,Spitzwegerich,schwach,1,2020-05-02 10:45:17.113242
16,Raps,schwach,1,2020-05-02 10:45:17.113242
17,Hopfen,schwach,1,2020-05-02 10:45:17.113242
18,Holunder,keine,0,2020-05-02 10:45:17.113242
19,Ulme,keine,0,2020-05-02 10:45:17.113242
21,Pappel,keine,0,2020-05-02 10:45:17.113242
22,Weide,keine,0,2020-05-02 10:45:17.113242
23,Birke,keine,0,2020-05-02 10:45:17.113242
24,Eiche,schwach,1,2020-05-02 10:45:17.113242
25,Esche,keine,0,2020-05-02 10:45:17.113242
26,Platane,schwach,1,2020-05-02 10:45:17.113242
28,Flieder,schwach,1,2020-05-02 10:45:17.113242
29,Ambrosia,keine,0,2020-05-02 10:45:17.113242
30,Buche,schwach,1,2020-05-02 10:45:17.113242
31,Rotbuche,schwach,1,2020-05-02 10:45:17.113242
32,Ahorn,schwach,1,2020-05-02 10:45:17.113242
33,Nessel,keine,0,2020-05-02 10:45:17.113242
35,Kiefer,schwach,1,2020-05-02 10:45:17.113242
36,Tanne,schwach,1,2020-05-02 10:45:17.113242
37,Fichte,schwach,1,2020-05-02 10:45:17.113242
0,Erle,keine,0,2020-05-02 10:46:20.467402
1,Hasel,keine,0,2020-05-02 10:46:20.467402
2,L\xf6wenzahn,schwach,1,2020-05-02 10:46:20.467402
3,Gr\xe4ser,schwach,1,2020-05-02 10:46:20.467402
4,Gerste,keine,0,2020-05-02 10:46:20.467402
5,Linde,keine,0,2020-05-02 10:46:20.467402
7,Beifu\xdf,keine,0,2020-05-02 10:46:20.467402
8,G\xe4nsefu\xdf,keine,0,2020-05-02 10:46:20.467402
9,Mais,keine,0,2020-05-02 10:46:20.467402
10,Brennessel,keine,0,2020-05-02 10:46:20.467402
11,Hafer,keine,0,2020-05-02 10:46:20.467402
12,Roggen,schwach,1,2020-05-02 10:46:20.467402
